Material,UndDoItem,QtdePedida,QtdePedUnd,QtdeAtendida,QtdeAtendUnd,DtCriacao,DtEntrada,Custo,data_extracao,codigo_loja
3125856,"16,00","28,00","13,00","19,00","13,00",20220814,20220823,"71,68",20220914,20
3108152,"18,00","27,00","12,00","18,00","12,00",20220831,20220909,"93,82000000000001",20220914,53
3131849,"25,00","34,00","12,00","25,00","12,00",20220928,00000000,"30,0",20221004,17
3114175,"14,00","23,00","12,00","14,00","12,00",20220925,00000000,"242,01",20221004,113
3133492,"29,00","38,00","12,00","29,00","12,00",20220903,20220914,"23,74",20220925,100
1033218,"19,00","46,00","15,00","37,00","15,00",20220828,20220831,"49,370000000000005",20220925,27
873949,"25,00","70,00","15,00","61,00","15,00",20220818,20220822,"23,99",20220918,1
2948861,"14,00","27,00","16,00","18,00","16,00",20220822,20220827,"63,650000000000006",20220918,4
3125914,"28,00","37,00","12,00","28,00","12,00",20220916,00000000,"25,46",20221001,38
3138795,"28,00","37,00","12,00","28,00","12,00",20220923,20220928,"25,46",20221009,24
2917109,"15,00","26,00","13,00","17,00","13,00",20220917,20220928,"93,67",20221001,20
3139111,"14,00","24,00","13,00","0,00","0,00",20220924,00000000,"353,72999999999996",20221001,26
3140750,"37,00","46,00","12,00","37,00","12,00",20220910,20220916,"22,169999999999998",20221009,32
3137129,"14,00","24,00","13,00","15,00","13,00",20220914,20220922,"216,83",20221009,73
3113732,"37,00","334,00","24,00","325,00","24,00",20220907,20220917,"23,39",20220927,93
3109948,"30,00","56,00","13,00","47,00","13,00",20220905,20220912,"25,52",20220923,72
3140919,"14,00","24,00","13,00","15,00","13,00",20220926,20221004,"40,3",20221005,3
3145806,"43,00","52,00","12,00","43,00","12,00",20220927,00000000,"25,68",20221005,113
3139737,"61,00","70,00","12,00","61,00","12,00",20220912,20220915,"28,42",20221004,44
3116688,"15,00","26,00","13,00","17,00","13,00",20220915,20220930,"145,32",20221004,29
3113198,"43,00","112,00","14,00","103,00","14,00",20220913,20220915,"31,29",20220925,19
3100448,"37,00","46,00","12,00","37,00","12,00",20220828,20220903,"24,759999999999998",20220925,80
3109862,"30,00","175,00","20,00","166,00","20,00",20220831,20220905,"25,62",20220920,9
3116789,"14,00","26,00","15,00","17,00","15,00",20220907,00000000,"96,67",20220920,81
3145851,"14,00","25,00","14,00","16,00","14,00",20220825,20220831,"103,25",20220920,31
3136616,"14,00","24,00","13,00","15,00","13,00",20220913,00000000,"35,91",20220918,62
3109948,"30,00","56,00","13,00","47,00","13,00",20220907,00000000,"24,3",20220918,96
3150215,"17,00","26,00","12,00","17,00","12,00",20220827,20220905,"71,6",20220918,100
3000096,"43,00","52,00","12,00","43,00","12,00",20220908,00000000,"22,26",20220918,59
3120180,"25,00","46,00","13,00","37,00","13,00",20220917,20220924,"39,61",20221001,23
3133993,"17,00","26,00","12,00","17,00","12,00",20220926,20220929,"47,620000000000005",20221001,16
3103277,"19,00","28,00","12,00","19,00","12,00",20220919,20220927,"72,16",20221009,4
3136656,"14,00","29,00","18,00","20,00","18,00",20220913,20220922,"40,7",20221001,6
3113198,"43,00","52,00","12,00","43,00","12,00",20220914,20220930,"28,67",20221001,113
3129884,"43,00","172,00","16,00","163,00","16,00",20220902,20220912,"29,92",20220914,103
3122460,"29,00","102,00","16,00","93,00","16,00",20220827,20220909,"23,85",20220920,46
3135086,"25,00","34,00","12,00","25,00","12,00",20220904,20220909,"25,47",20220920,2
2851568,"25,00","262,00","31,00","61,00","15,00",20220616,20220622,"31,93",20220719,21
3139181,"14,00","23,00","12,00","14,00","12,00",20220713,00000000,"154,63",20220719,52
2855533,"14,00","25,00","14,00","16,00","14,00",20220907,20220922,"60,769999999999996",20221001,49
2987764,"19,00","34,00","13,00","25,00","13,00",20220919,20220921,"25,88",20221001,93
3109948,"30,00","107,00","16,00","98,00","16,00",20220902,20220920,"25,02",20221001,51
3111679,"17,00","26,00","12,00","17,00","12,00",20220929,00000000,"113,04",20221004,89
2990472,"14,00","23,00","12,00","14,00","12,00",20220917,20220927,"151,3",20221004,99
3148795,"19,00","28,00","12,00","19,00","12,00",20220902,20220913,"37,01",20221004,67
3113746,"109,00","2518,00","37,00","2509,00","37,00",20221004,00000000,"23,06",20221009,51
3136675,"29,00","118,00","17,00","109,00","17,00",20220907,20220928,"24,61",20221009,21
1033877,"16,00","25,00","12,00","16,00","12,00",20221003,00000000,"47,760000000000005",20221009,43
3137359,"16,00","25,00","12,00","16,00","12,00",20221002,20221004,"242,51",20221009,25
3113746,"109,00","1654,00","28,00","877,00","20,00",20220926,20221003,"23,42",20221009,6
3130958,"19,00","28,00","12,00","19,00","12,00",20220909,20220928,"35,16",20221009,72
3144660,"25,00","70,00","15,00","49,00","14,00",20220916,20220920,"25,42",20221009,2
3146889,"14,00","23,00","12,00","14,00","12,00",20220915,20220921,"147,10999999999999",20221009,83
3137301,"25,00","142,00","21,00","133,00","21,00",20220923,20220928,"22,75",20221009,32
3138987,"14,00","23,00","12,00","14,00","12,00",20220923,00000000,"184,65",20221005,116
3113746,"109,00","3766,00","50,00","3661,00","49,00",20220926,20220930,"23,42",20221005,52
3120308,"17,00","26,00","12,00","17,00","12,00",20220907,20220915,"57,5",20221004,40
3144695,"25,00","34,00","12,00","25,00","12,00",20220911,20220916,"24,82",20221004,32
3147709,"19,00","28,00","12,00","19,00","12,00",20220906,20220919,"33,24",20221004,50
3150784,"25,00","34,00","12,00","25,00","12,00",20220922,20220929,"44,989999999999995",20221004,31
3135086,"25,00","34,00","12,00","25,00","12,00",20220902,20220909,"25,47",20220920,41
2875102,"19,00","28,00","12,00","19,00","12,00",20220828,20220830,"49,54",20220914,94
3136675,"29,00","134,00","18,00","93,00","16,00",20220817,20220819,"25,65",20220914,6
3127531,"37,00","46,00","12,00","37,00","12,00",20220907,00000000,"26,13",20220914,90
2917109,"15,00","24,00","12,00","15,00","12,00",20220814,20220820,"93,91",20220914,112
3129447,"23,00","32,00","12,00","23,00","12,00",20220626,20220706,"66,76",20220719,31
3132870,"14,00","45,00","34,00","36,00","34,00",20220710,20220714,"164,52",20220719,17
3133492,"29,00","38,00","12,00","29,00","12,00",20220912,20220923,"24,62",20221009,87
3137657,"14,00","23,00","12,00","14,00","12,00",20220909,20220914,"82,38",20221009,17
3143880,"37,00","46,00","12,00","37,00","12,00",20220905,20220910,"22,419999999999998",20221001,11
3107083,"17,00","26,00","12,00","17,00","12,00",20220926,00000000,"42,93",20221001,43
3135086,"25,00","34,00","12,00","25,00","12,00",20220904,20220909,"25,47",20221001,2
3101896,"14,00","24,00","13,00","15,00","13,00",20220907,20220912,"87,77000000000001",20220918,24
3129884,"43,00","172,00","16,00","43,00","12,00",20220910,20220916,"31,03",20220918,89
3122490,"29,00","54,00","13,00","45,00","13,00",20220823,20220831,"23,83",20220918,67
2851572,"21,00","30,00","12,00","21,00","12,00",20220909,20220920,"37,51",20221009,20
3116715,"19,00","40,00","14,00","31,00","14,00",20220919,20220928,"35,379999999999995",20221004,61
3101896,"14,00","23,00","12,00","14,00","12,00",20220918,20220923,"71,08",20220927,59
3109948,"30,00","311,00","28,00","302,00","28,00",20220920,20220926,"25,59",20220927,10
3137301,"25,00","70,00","15,00","61,00","15,00",20220927,20221005,"22,419999999999998",20221009,110
3125412,"37,00","46,00","12,00","37,00","12,00",20220914,20220928,"27,6",20221009,101
2982024,"14,00","23,00","12,00","14,00","12,00",20220903,20220923,"74,44",20221009,10
3130998,"14,00","23,00","12,00","14,00","12,00",20221005,00000000,"152,1",20221009,11
3135878,"25,00","34,00","12,00","25,00","12,00",20220818,20220822,"33,58",20220914,9
3109948,"30,00","226,00","23,00","217,00","23,00",20220815,20220820,"24,39",20220914,85
3133776,"14,00","23,00","12,00","14,00","12,00",20220902,20220909,"72,1",20220914,12
3147405,"25,00","34,00","12,00","25,00","12,00",20220907,20220919,"24,65",20221005,99
3109862,"30,00","192,00","21,00","183,00","21,00",20220831,20220903,"24,4",20221005,17
3124362,"30,00","73,00","14,00","64,00","14,00",20220914,20221001,"24,4",20221005,68
3152111,"25,00","82,00","16,00","73,00","16,00",20220921,20220926,"24,13",20221004,111
3106924,"43,00","52,00","12,00","43,00","12,00",20220820,20220827,"22,59",20220920,33
2851568,"25,00","70,00","15,00","61,00","15,00",20220910,20220916,"32,269999999999996",20220920,32
